STEP 1 | Matriks Keputusan (Decision Matrix) | 16 Negara × 14 Kriteria | Tabel 3 – Wang et al. (2025),,,,,,,,,,,,,,
Negara / Alternatif,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
Tipe Kriteria →,Benefit (+),Benefit (+),Benefit (+),Cost (−),Cost (−),Benefit (+),Benefit (+),Benefit (+),Benefit (+),Benefit (+),Benefit (+),Benefit (+),Cost (−),Cost (−)
Iraq,"2,850","5,940","78,200","4,990","18,870","37,680","24,410","1,110","4,300","0,410","19,590","261,290","70,020","0,730"
Turkey,"6,460","10,620","104,710","72,310","96,110","37,890","42,600","34,430","1,620","0,650","35,050","504,960","9,930","2,110"
Lebanon,"1,400","4,140","126,550","171,210","150,000","26,030","52,800","1,870","4,390","0,520","5,360","28,950","0,120","0,180"
Israel,"1,260","54,660","96,710","4,390","4,390","31,910","28,620","4,370","4,360","0,730","26,270","83,660","0,790","0,450"
Saudi Arabia,"2,410","30,440","83,300","2,470","17,320","39,920","23,220","15,910","1,760","0,580","27,280","712,590","70,870","2,910"
Oman,"1,840","25,060","88,860","2,810","24,650","52,530","41,390","2,240","2,130","0,610","22,410","95,080","17,650","0,260"
UAE,"0,910","53,760","77,410","4,830","13,850","95,930","70,650","6,580","0,970","0,670","22,790","249,930","33,770","0,780"
Qatar,"0,250","88,050","75,220","5,000","25,990","58,910","34,130","2,000","1,070","0,640","36,680","119,610","28,910","0,330"
Kuwait,"0,460","43,230","91,600","3,980","26,620","53,290","44,890","2,420","1,040","0,560","25,020","135,900","20,090","0,360"
Bahrain,"0,260","30,150","80,520","3,630","7,710","89,650","70,170","0,840","2,290","0,650","25,580","54,150","4,660","0,090"
Egypt,"10,950","4,300","106,810","13,900","10,430","15,090","21,900","31,170","2,800","0,490","17,020","299,780","25,360","1,140"
India,"16,620","2,390","102,190","6,700","8,320","22,450","26,920","52,380","0,620","0,490","31,160","3200,820","124,660","21,580"
Pakistan,"22,250","1,600","111,380","19,870","13,000","10,470","21,850","78,910","1,290","0,410","15,140","436,610","23,980","3,110"
Bangladesh,"11,220","2,690","106,820","7,700","5,050","12,880","20,900","74,460","0,320","0,460","32,050","206,570","8,860","7,640"
Sri Lanka,"8,750","3,350","103,550","49,720","48,850","21,480","25,040","8,710","3,680","0,600","34,390","35,120","0,750","0,430"
Nepal,"21,060","1,340","131,640","7,690","7,330","6,760","42,640","8,700","1,370","0,500","37,420","45,870","3,160","0,610"
MIN,"0,250","1,340","75,220","2,470","4,390","6,760","20,900","0,840","0,320","0,410","5,360","28,950","0,120","0,090"
MAX,"22,250","88,050","131,640","171,210","150,000","95,930","70,650","78,910","4,390","0,730","37,420","3200,820","124,660","21,580"
Keterangan:,Agriculture/Forestry/Fishing (% GDP),GDP per capita (current US$ thousands),Gross National Expenditure (% GDP),Inflation – Consumer Prices (%) ◄COST,Inflation – GDP Deflator (%) ◄COST,Exports of Goods & Services (% GDP),Imports of Goods & Services (% GDP),Labor Force Total (million people),Armed Forces Personnel (% of labor),Human Capital Index (0–1),Gross Capital Formation (% GDP),Total GHG Emissions (Mt CO₂ eq.),Methane Emissions – Energy (Mt CO₂ eq.) ◄COST,N₂O Emissions – Energy (Mt CO₂ eq.) ◄COST