🏆 STEP 8 | Skor Akhir & Ranking OCRA | Pi = (Ī_i + Ō_i) − MIN(Ī_i + Ō_i) | Eq.(9)(11)(12),,,,,,,
Negara,Ii  (raw),Oi  (raw),Ī_i = Ii−min(Ii),Ō_i = Oi−min(Oi),Ī_i + Ō_i,Pi  (Skor Akhir),🏆 RANKING (BOBOT MEREC JURNAL)
,,,,,,,
Iraq,"2011,193","59,547","1747,098","18,906","1766,004","1530,906",14
Turkey,"3089,992","136,975","2825,897","96,335","2922,232","2687,134",7
Lebanon,"3209,908","40,641","2945,813","0,000","2945,813","2710,715",6
Israel,"3456,954","96,927","3192,860","56,286","3249,146","3014,048",1
Saudi Arabia,"1932,062","103,751","1667,967","63,111","1731,078","1495,980",15
Oman,"3104,573","62,224","2840,478","21,584","2862,062","2626,964",8
UAE,"2760,645","97,586","2496,550","56,945","2553,495","2318,397",13
Qatar,"2867,002","108,596","2602,907","67,955","2670,862","2435,764",12
Kuwait,"3048,796","66,789","2784,701","26,148","2810,849","2575,751",10
Bahrain,"3386,766","66,122","3122,671","25,481","3148,153","2913,055",4
Egypt,"2915,446","139,263","2651,351","98,622","2749,973","2514,875",11
India,"264,095","275,739","0,000","235,098","235,098","0,000",16
Pakistan,"2876,866","269,561","2612,771","228,921","2841,692","2606,594",9
Bangladesh,"3071,175","196,215","2807,080","155,574","2962,654","2727,556",5
Sri Lanka,"3382,399","97,198","3118,304","56,558","3174,861","2939,763",3
Nepal,"3397,917","152,846","3133,822","112,205","3246,027","3010,929",2